educationagencyname,averagetest,income50perc,ginico,percentmalesBA,percentfemalesBA,percentmalespov,percentfemalespov,percentnatam,percentasian,percenthispanic,percentblacks,percentwhites,totalenrollment
GIBRALTAR SCHOOL DISTRICT,-0.2212,77213.45,0.3265,0.1966,0.1901,0.0548,0.0763,0.0115,0.0218,0.0478,0.0582,0.8435,1707.5
WISEBURN ELEMENTARY,-0.1201,77205.79,0.2532,0.3335,0.3341,0.0195,0.0492,0.0018,0.0524,0.5414,0.1985,0.1345,1739.833
LANESVILLE COMMUNITY SCHOOL CORP,0.4083,77196.88,0.2845,0.1705,0.1951,0.0282,0.056,0.0023,0.0067,0.0095,0.0072,0.9454,299.5
LEXINGTON 05,0.9451,77195.38,0.3594,0.4588,0.4163,0.0474,0.0786,0.002,0.027,0.0273,0.2812,0.6374,7679.5
BRUNSWICK CITY,1.1207,77180.77,0.311,0.2446,0.2317,0.0583,0.051,0.001,0.013,0.017,0.0173,0.9182,3443.167
SARATOGA CCSD 60C,0.3811,77173.83,0.2769,0.2385,0.2554,0.0147,0.0637,0.0044,0.0087,0.101,0.0224,0.8315,498.3333
LAWTON-BRONSON COMM SCHOOL DISTRICT,0.6064,77166.58,0.2826,0.1963,0.226,0.0263,0.0606,0.0098,0.0126,0.0199,0.005,0.9404,267.6667
FREEDOM AREA SCHOOL DISTRICT,0.6297,77156.78,0.2407,0.1268,0.2023,0.0112,0.0224,0.033,0.0031,0.0175,0.0008,0.9335,679
MADISON COUNTY,0.277,77149.79,0.3508,0.3458,0.3029,0.0856,0.0996,0.0621,0.0163,0.0251,0.1869,0.6966,8872.167
FAYETTEVILLE ISD,0.744,77142.77,0.3056,0.2076,0.1517,0.0575,0.0666,0,0,0.0912,0.0238,0.8818,97
SUNAPEE SCHOOL DISTRICT,1.2031,77142.77,0.3891,0.4558,0.6012,0.0571,0.0683,0.0064,0.0135,0.0079,0.0016,0.9605,208.5
MT PLEASANT TWP COM SCH CORP,0.7853,77122.55,0.3496,0.3233,0.3335,0.0562,0.049,0.0031,0.0241,0.02,0.0216,0.8941,1064.5
NORTHERN COM SCH TIPTON CO,0.0284,77119.48,0.2671,0.1413,0.1513,0.0277,0.0461,0.0015,0.0031,0.0531,0.0056,0.924,417.1667
WATERLOO CUSD 5,1.0297,77118.56,0.3127,0.2355,0.2332,0.0493,0.0713,0.0028,0.0111,0.0125,0.0036,0.9621,1234.667
GALLOWAY TOWNSHIP,0.4508,77101.69,0.3372,0.2935,0.2821,0.0669,0.0646,0.0009,0.1416,0.1653,0.1735,0.4993,2395.833
PALMYRA DISTRICT O R 1,0.9077,77099.91,0.3138,0.3337,0.3132,0.0935,0.0902,0.0018,0.0018,0.0223,0.0098,0.931,186
CARLSTADT,0.4802,77083.25,0.3275,0.3033,0.2649,0.0367,0.0991,0,0.0643,0.2275,0.0461,0.6599,370.3333
NEMO VISTA SCHOOL DISTRICT,0.113,77083.25,0.3473,0.1492,0.1699,0.1621,0.1751,0.0007,0.0029,0.0289,0.0125,0.8901,233.3333
RIDGEFIELD,1.0891,77083.25,0.3728,0.4122,0.3084,0.0558,0.0543,0,0.3329,0.2412,0.0107,0.4148,670.8333
MARATHON CITY SCHOOL DISTRICT,0.4509,77065.13,0.2767,0.1379,0.1907,0.0382,0.0471,0,0.0098,0.0219,0.0007,0.965,255.8333
ALMONT COMMUNITY SCHOOLS,0.2095,77049.1,0.313,0.1423,0.224,0.0569,0.1166,0.0024,0.0036,0.0474,0.0031,0.942,739.8333
