educationagencyname,averagetest,income50perc,percentblacks,percentwhites,totalenrollment
ANTON ISD,-1.2548,38624.27,0.0422,0.277,110.1667
ANTWERP LOCAL,1.0462,57832.55,0.0069,0.9349,292.1667
APACHE JUNCTION UNIFIED DISTRICT,-0.7512,52337.43,0.0217,0.6778,2660.5
APLINGTON-PARKERSBURG COMM SCHOOL DISTRICT,0.0026,64071.16,0.0049,0.988,374.3333
APOLLO-RIDGE SD,0.0836,49999,0.018,0.9549,667.3333
APPLE VALLEY UNIFIED,-0.8175,51499.85,0.1027,0.4365,6645.667
APPLETON AREA SCHOOL DISTRICT,0.5183,69438.54,0.0459,0.7633,6764.667
APPLETON CITY R-II,-0.3536,42675.93,0.0165,0.9528,139.6667
APPLETON SCHOOL DEPARTMENT,0.4905,48249.35,0.0235,0.9733,95.1667
APPLING COUNTY,-0.2884,42916.08,0.2202,0.6337,1530.333
APPOMATTOX CO PBLC SCHS,0.0992,60187.49,0.2546,0.6763,1057.5
APPOQUINIMINK SCHOOL DISTRICT,0.9852,100712.4,0.2365,0.6493,4872.333
APTAKISIC-TRIPP CCSD 102,2.3288,118477.5,0.0208,0.6654,1361.5
AR-WE-VA COMM SCHOOL DISTRICT,0.149,63115.18,0.0123,0.9026,105
ARAB CITY,1.1311,41666.33,0.0022,0.9697,1161.5
ARANSAS COUNTY ISD,-0.2755,44806.73,0.0168,0.5437,1399.167
ARANSAS PASS ISD,-1.0726,42499.5,0.0385,0.3833,840.1667
ARAPAHO-BUTLER,0.6766,44249.15,0.0044,0.8298,145.1667
ARAPAHOE PUBLIC SCHOOLS,0.6719,52999.7,0.0069,0.9173,123
ARBOR PARK SD 145,-0.1822,73592.85,0.1194,0.558,931.3333
ARCADIA LOCAL,0.9607,65285.36,0.0072,0.9098,279
ARCADIA SCHOOL DISTRICT,-0.2797,51111,0.0041,0.7276,447
ARCADIA UNIFIED,2.5133,84730.62,0.0168,0.1678,4383.167
ARCADIA VALLEY R-II,0.4574,42499.5,0.0182,0.9762,457.3333
ARCANUM-BUTLER LOCAL,0.42,71899.2,0.0026,0.9599,497.5
ARCATA ELEMENTARY,-0.1282,33749.25,0.0188,0.7228,606.5
ARCHBOLD-AREA LOCAL,1.4536,66562.06,0.0023,0.7732,571.6667
ARCHER CITY ISD,0.7616,55332.8,0.0099,0.8862,218.5
ARCHIE R-V,0.2669,68249.45,0.0221,0.9482,257.6667
ARCHULETA COUNTY SCHOOL DISTRICT NO. 50 JT,0.764,54454.1,0.0084,0.6894,659.1667
ARCOHE UNION ELEMENTARY,-1.6051,87499.5,0.0169,0.5033,297
ARCOLA CUSD 306,-0.9446,59383.68,0.0066,0.5612,335.3333
ARDMORE,-1.0666,33286.38,0.2171,0.4165,1299
ARDSLEY UNION FREE SCHOOL DISTRICT,2.3263,176886.3,0.0362,0.7109,922
ARENA UNION ELEMENTARY,-1.8405,76136.31,0,0.4834,198.6667
ARENAC EASTERN SCHOOL DISTRICT,-1.1712,39749.05,0.0091,0.9591,116.8333
ARGENTA-OREANA CUSD 1,0.0653,63833.08,0.029,0.8987,445.3333
ARGONIA PUBLIC SCHOOLS,-0.0127,33999.2,0.0022,0.901,78
ARGOS COMMUNITY SCHOOLS,0.5418,42726.73,0.0006,0.9202,302.3333
ARGYLE CENTRAL SCHOOL DISTRICT,-0.163,72070.63,0.0037,0.9413,267.8333
ARGYLE ISD,1.4658,136499.5,0.0025,0.8888,858.8333
ARGYLE SCHOOL DISTRICT,0.521,61833.21,0,0.9475,141.6667
ARKADELPHIA SCHOOL DISTRICT,0.0231,44037.65,0.3538,0.5709,908.8333
ARKANSAS CITY,0.3701,50645.1,0.0449,0.6149,1233.5
ARKOMA,-0.8042,23610.39,0.0045,0.7713,153.6667
ARKPORT CENTRAL SCHOOL DISTRICT,-0.1369,55110.6,0.0047,0.973,240.6667
ARLEE ELEM,-0.8099,24165.83,0.0008,0.3244,194.5
ARLINGTON,2.7979,106249.8,0.034,0.7851,2248.5
ARLINGTON CENTRAL SCHOOL DISTRICT,0.486,92882.95,0.0696,0.793,4447
ARLINGTON CO PBLC SCHS,0.9873,109349.2,0.1128,0.4854,9088.167
ARLINGTON ELEMENTARY DISTRICT,-0.9971,22707.79,0.0088,0.3414,183.6667
ARLINGTON HEIGHTS SD 25,2.1723,106044.8,0.0107,0.8382,3476
